,_del_t,_dir_mu,_dir_sigma,_len_mu_norm,_len_sigma_norm,_significance
2015-09-16 07:18:43.360,4.02,-86.7192157067,15.0911321827,1.33606225104,0.28991020141,0.448920265781
2015-09-16 07:18:47.380,4.02,-83.9494276941,23.2212342687,0.996119228762,0.402730199235,0.413555787278
2015-09-16 07:18:51.400,3.94,-94.585544654,8.01865337002,1.25279474985,0.284147262573,0.341127348643
2015-09-16 07:18:55.340,4.02,-94.3797115557,20.7701100144,1.01495334758,0.31530065323,0.539473684211
2015-09-16 07:18:59.360,4.02,-99.3265925296,18.0043496576,1.18198964133,0.346048584032,0.475941422594
2015-09-16 07:19:03.380,4.02,-98.1839419763,22.0916322243,0.908573765067,0.313338325984,0.491433347263
2015-09-16 07:19:07.400,4.02,-91.0503600431,13.4013044025,1.16943826723,0.301044082167,0.372136609746
2015-09-16 07:19:11.420,3.94,-94.7174913662,6.50277628196,1.21776041041,0.338892343686,0.262613730356
2015-09-16 07:19:15.360,4.02,-92.872891056,14.7871298326,1.06978855323,0.368870994938,0.351273623665
2015-09-16 07:19:19.380,5.61,-91.9580127858,13.7529627805,1.11987076554,0.263837803281,0.71207177814
2015-09-16 07:19:24.990,4.36,-83.8141533611,16.6177257271,0.9103432161,0.374211658032,0.425888117599
2015-09-16 07:19:29.350,4.02,-76.4628422765,9.67919058809,1.11486057737,0.340304030708,0.160839160839
2015-09-16 07:19:33.370,4.02,-96.1137558995,13.891906875,1.08214314304,0.368386388418,0.385082757176
2015-09-16 07:19:37.390,4.02,-108.49142106,20.337385389,0.98358594363,0.338333400328,0.42314297982
2015-09-16 07:19:41.410,3.94,-101.055524753,23.2725781156,0.947278405204,0.305745444322,0.352
2015-09-16 07:19:45.350,4.11,-101.242582119,25.9120170574,0.936052456969,0.294044882132,0.512525389303
2015-09-16 07:19:49.460,4.02,-100.226769644,16.6801374666,1.00685423286,0.369177825415,0.575599818923
2015-09-16 07:19:53.480,3.52,-92.832191392,34.2410426002,0.943437489596,0.282025642016,0.532461573755
2015-09-16 07:19:57.000,4.44,-98.0600427747,14.5971839056,1.08243817682,0.34012303159,0.482662322551
2015-09-16 07:20:01.440,5.94,-92.9161284582,12.2701137186,1.18679976222,0.261667501244,0.798329355609
2015-09-16 07:20:07.380,4.11,-88.1686356359,20.9240688633,1.09871773824,0.314707622621,0.57546705998
2015-09-16 07:20:11.490,4.02,-96.7472664607,12.3895895232,1.16161944261,0.3061520223,0.511721704058
2015-09-16 07:20:15.510,3.94,-102.019255298,21.5582819273,1.00284572785,0.261828681539,0.52534562212
2015-09-16 07:20:19.450,4.02,-101.81820188,16.3761603446,1.07417759018,0.293673152354,0.445401570813
2015-09-16 07:20:23.470,4.02,-80.1970733786,23.3370789095,1.12354613062,0.309737226856,0.608996539792
